Installation,Station.Name,Receiver,DeploymentDate,RecoveryDate,Longitude,Latitude
Heron and One Tree Island,S5,VR2W-112756,2011-04-12,2012-03-22,152.03047,-23.41777
Heron and One Tree Island,S1,VR2W-112758,2011-04-11,2012-03-22,152.05516,-23.41504
Heron and One Tree Island,S2,VR2W-112759,2011-04-11,2012-03-22,152.03952,-23.43652
Heron and One Tree Island,S3,VR2W-112755,2011-04-11,2012-03-22,152.03804,-23.45718
Heron and One Tree Island,S4,VR2W-112757,2011-04-12,2012-03-22,152.02306,-23.44973
Heron and One Tree Island,VP7,VR2W-124039,2014-03-23,2014-03-25,151.93854,-23.43366
Heron and One Tree Island,VP9,VR2W-124041,2014-03-23,2014-03-25,151.94048,-23.4338
Heron and One Tree Island,VP8,VR2W-124040,2014-03-23,2014-03-25,151.93802,-23.43502
Heron and One Tree Island,VP0,VR2W-124042,2014-03-23,2014-03-25,151.94003,-23.43496
Heron and One Tree Island,VP14,VR2W-125184,2014-06-24,2014-06-25,151.93907,-23.43461
Heron and One Tree Island,VP13,VR2W-125183,2014-06-24,2014-06-30,151.937256,-23.434436
Heron and One Tree Island,VP12,VR2W-125182,2014-06-24,2014-06-30,151.935379,-23.43428
Heron and One Tree Island,VP11,VR2W-125181,2014-06-23,2014-06-30,151.933296,-23.433922
Heron and One Tree Island,VP6,VR2W-124038,2014-03-23,2014-07-01,151.93617,-23.43524
Heron and One Tree Island,VP5,VR2W-124037,2014-03-22,2014-06-29,151.93658,-23.43338
Heron and One Tree Island,VP4,VR2W-124036,2014-03-22,2014-07-01,151.93411,-23.43484
Heron and One Tree Island,VP3,VR2W-124035,2014-03-22,2014-06-29,151.93465,-23.43311
Heron and One Tree Island,VP2,VR2W-124034,2014-03-22,2014-07-01,151.93216,-23.43432
Heron and One Tree Island,VP1,VR2W-124033,2014-03-22,2014-06-30,151.93268,-23.43274
Cleveland Bay,E24,VR2W-101335,2011-02-08,2011-06-07,146.96757,-19.24632
Cleveland Bay,E23,VR2W-101693,2011-02-08,2011-06-05,146.9543,-19.2592
Cleveland Bay,E22,VR2W-101792,2011-02-08,2011-05-27,146.93757,-19.26945
Cleveland Bay,C3,VR2W-102044,2009-08-31,2011-08-10,146.81433,-19.18111
Cleveland Bay,C4,VR2W-102049,2009-08-31,2015-01-01,146.82491,-19.17472
Cleveland Bay,C2,VR2W-102050,2009-08-31,2013-06-18,146.80553,-19.17579
Cleveland Bay,E32,VR2W-102230,2008-11-01,2015-01-01,146.93888,-19.28775
Cleveland Bay,C8,VR2W-102895,2009-08-31,2015-01-01,146.84323,-19.18343
Cleveland Bay,C1,VR2W-103680,2009-08-31,2015-01-01,146.81236,-19.16909
Cleveland Bay,C5,VR2W-103681,2009-08-31,2015-01-01,146.82962,-19.17839
Cleveland Bay,C9,VR2W-103682,2009-08-31,2013-06-17,146.84695,-19.17345
Cleveland Bay,C6,VR2W-103683,2009-08-31,2013-06-20,146.81947,-19.18344
Cleveland Bay,C7,VR2W-103684,2009-08-31,2015-01-01,146.83626,-19.18312
Cleveland Bay,E30,VR2W-103937,2008-11-01,2013-03-15,146.97498,-19.27245
Cleveland Bay,E29,VR2W-103938,2009-10-03,2015-01-01,146.98398,-19.25474
Cleveland Bay,E31,VR2W-103939,2008-11-01,2015-01-01,146.96128,-19.28128
Cleveland Bay,E26,VR2W-104195,2008-11-01,2012-05-15,147.00403,-19.22577
Cleveland Bay,E1,VR2W-104197,2008-11-01,2013-03-04,146.87712,-19.2893
Cleveland Bay,E20,VR2W-104198,2008-11-01,2013-10-30,146.90173,-19.29613
Cleveland Bay,E18,VR2W-104199,2011-02-08,2012-05-15,146.90302,-19.27705
Cleveland Bay,E27,VR2W-104200,2010-11-09,2015-01-01,147.0148,-19.21075
Cleveland Bay,E19,VR2W-104201,2008-11-01,2012-02-01,146.8871,-19.29675
Cleveland Bay,E5,VR2W-104785,2009-06-22,2013-10-31,146.93622,-19.23965
Cleveland Bay,E6,VR2W-104843,2009-06-22,2013-10-30,146.95222,-19.22823
Cleveland Bay,E2,VR2W-104912,2009-04-15,2011-05-04,146.88943,-19.27527
Cleveland Bay,E3,VR2W-104913,2009-04-15,2012-02-01,146.90357,-19.2635
Cleveland Bay,E33,VR2W-104914,2010-03-08,2011-08-09,146.95329,-19.26856
Cleveland Bay,E4,VR2W-104915,2009-06-22,2011-12-01,146.91913,-19.25257
Cleveland Bay,W1,VR2W-105932,2009-11-17,2013-03-03,146.78901,-19.22145
Cleveland Bay,E11,VR2W-105933,2009-11-25,2012-10-25,147.01635,-19.1963
Cleveland Bay,E12,VR2W-105934,2010-02-04,2015-01-01,146.99435,-19.20958
Cleveland Bay,E7,VR2W-105935,2009-11-06,2013-03-04,146.96658,-19.21652
Cleveland Bay,E8,VR2W-105936,2009-11-06,2015-01-01,146.9787,-19.20712
