Date.and.Time..UTC.,Receiver,Transmitter,Transmitter.Name,Transmitter.Serial,Sensor.Value,Sensor Unit,Station.Name,Latitude,Longitude
2011-01-31 08:15:00,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:16:12,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:17:18,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:18:12,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:19:12,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:20:23,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:21:26,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:22:44,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:24:02,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:26:34,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:27:47,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:28:55,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:29:51,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:30:56,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:31:47,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:32:39,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:33:36,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:34:42,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:35:34,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:38:50,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:40:07,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 08:42:33,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 09:00:09,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 09:01:24,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 09:27:22,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 09:28:36,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 09:46:10,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 09:47:31,VR2W-104198,A69-1303-63639,Ana,11237964,,,E20,-19.29613,146.90173
2011-01-31 09:53:06,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 09:55:06,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 09:56:06,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 09:57:16,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 09:58:19,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 09:59:37,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:00:54,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:02:09,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:03:20,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:04:24,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:05:14,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:06:06,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:07:00,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:08:01,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:09:13,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:10:20,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
2011-01-31 10:11:15,VR2W-104201,A69-1303-63639,Ana,11237964,,,E19,-19.29675,146.8871
